142.44.178.198 - - [23/Sep/2020:18:43:44 +0200] "GET /jenkins/script HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:45 +0200] "GET /login HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:46 +0200] "GET /jmx-console HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:49 +0200] "GET /manager/html HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:51 +0200] "GET /msd HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:52 +0200] "GET /mySqlDumper HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:53 +0200] "GET /msd1.24stable HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:55 +0200] "GET /msd1.24.4 HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:56 +0200] "GET /mysqldumper HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:57 +0200] "GET /MySQLDumper HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:58 +0200] "GET /mysql HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:00 +0200] "GET /sql HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:02 +0200] "GET /phpmyadmin HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:03 +0200] "GET /phpMyAdmin HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:04 +0200] "GET /mysql HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:05 +0200] "GET /sql HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:07 +0200] "GET /myadmin HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:08 +0200] "GET /phpMyAdmin-4.2.1-all-languages HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:10 +0200] "GET /phpMyAdmin-4.2.1-english HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:11 +0200] "GET / HTTP/1.1" 200 612 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:12 +0200] "GET /sqlite/main.php HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:14 +0200] "GET /SQLite/SQLiteManager-1.2.4/main.php HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
114.35.74.193 - - [23/Sep/2020:18:44:15 +0200] "GET / HTTP/1.1" 400 182 "-" "-"
142.44.178.198 - - [23/Sep/2020:18:44:16 +0200] "GET /SQLiteManager-1.2.4/main.php HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:17 +0200] "GET /sqlitemanager/main.php HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:44:19 +0200] "GET /SQlite/main.php HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
